name	display_name	description
cgchok1gshd_homolog_associated_gene_name	Chinese hamster CHOK1GS gene name	
cgchok1gshd_homolog_ensembl_peptide	Chinese hamster CHOK1GS protein or transcript stable ID	
cgchok1gshd_homolog_chromosome	Chinese hamster CHOK1GS chromosome/scaffold name	
cgchok1gshd_homolog_chrom_start	Chinese hamster CHOK1GS chromosome/scaffold start (bp)	
cgchok1gshd_homolog_chrom_end	Chinese hamster CHOK1GS chromosome/scaffold end (bp)	
cgchok1gshd_homolog_canonical_transcript_protein	Query protein or transcript ID	
cgchok1gshd_homolog_subtype	Last common ancestor with Chinese hamster CHOK1GS	
cgchok1gshd_homolog_orthology_type	Chinese hamster CHOK1GS homology type	
cgchok1gshd_homolog_perc_id	%id. target Chinese hamster CHOK1GS gene identical to query gene	
cgchok1gshd_homolog_perc_id_r1	%id. query gene identical to target Chinese hamster CHOK1GS gene	
cgchok1gshd_homolog_goc_score	Chinese hamster CHOK1GS Gene-order conservation score	
cgchok1gshd_homolog_wga_coverage	Chinese hamster CHOK1GS Whole-genome alignment coverage	
cgchok1gshd_homolog_orthology_confidence	Chinese hamster CHOK1GS orthology confidence [0 low, 1 high]	
osinensis_homolog_ensembl_gene	Chinese medaka gene stable ID	
osinensis_homolog_associated_gene_name	Chinese medaka gene name	
osinensis_homolog_ensembl_peptide	Chinese medaka protein or transcript stable ID	
osinensis_homolog_chromosome	Chinese medaka chromosome/scaffold name	
osinensis_homolog_chrom_start	Chinese medaka chromosome/scaffold start (bp)	
osinensis_homolog_chrom_end	Chinese medaka chromosome/scaffold end (bp)	
osinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	
osinensis_homolog_subtype	Last common ancestor with Chinese medaka	
osinensis_homolog_orthology_type	Chinese medaka homology type	
osinensis_homolog_perc_id	%id. target Chinese medaka gene identical to query gene	
osinensis_homolog_perc_id_r1	%id. query gene identical to target Chinese medaka gene	
osinensis_homolog_goc_score	Chinese medaka Gene-order conservation score	
osinensis_homolog_wga_coverage	Chinese medaka Whole-genome alignment coverage	
osinensis_homolog_orthology_confidence	Chinese medaka orthology confidence [0 low, 1 high]	
psinensis_homolog_ensembl_gene	Chinese softshell turtle gene stable ID	
psinensis_homolog_associated_gene_name	Chinese softshell turtle gene name	
psinensis_homolog_ensembl_peptide	Chinese softshell turtle protein or transcript stable ID	
psinensis_homolog_chromosome	Chinese softshell turtle chromosome/scaffold name	
psinensis_homolog_chrom_start	Chinese softshell turtle chromosome/scaffold start (bp)	
psinensis_homolog_chrom_end	Chinese softshell turtle chromosome/scaffold end (bp)	
psinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	
psinensis_homolog_subtype	Last common ancestor with Chinese softshell turtle	
psinensis_homolog_orthology_type	Chinese softshell turtle homology type	
psinensis_homolog_perc_id	%id. target Chinese softshell turtle gene identical to query gene	
psinensis_homolog_perc_id_r1	%id. query gene identical to target Chinese softshell turtle gene	
psinensis_homolog_goc_score	Chinese softshell turtle Gene-order conservation score	
psinensis_homolog_wga_coverage	Chinese softshell turtle Whole-genome alignment coverage	
psinensis_homolog_orthology_confidence	Chinese softshell turtle orthology confidence [0 low, 1 high]	
otshawytscha_homolog_ensembl_gene	Chinook salmon gene stable ID	
otshawytscha_homolog_associated_gene_name	Chinook salmon gene name	
otshawytscha_homolog_ensembl_peptide	Chinook salmon protein or transcript stable ID	
otshawytscha_homolog_chromosome	Chinook salmon chromosome/scaffold name	
otshawytscha_homolog_chrom_start	Chinook salmon chromosome/scaffold start (bp)	
otshawytscha_homolog_chrom_end	Chinook salmon chromosome/scaffold end (bp)	
otshawytscha_homolog_canonical_transcript_protein	Query protein or transcript ID	
otshawytscha_homolog_subtype	Last common ancestor with Chinook salmon	
otshawytscha_homolog_orthology_type	Chinook salmon homology type	
otshawytscha_homolog_perc_id	%id. target Chinook salmon gene identical to query gene	
otshawytscha_homolog_perc_id_r1	%id. query gene identical to target Chinook salmon gene	
otshawytscha_homolog_goc_score	Chinook salmon Gene-order conservation score	
otshawytscha_homolog_wga_coverage	Chinook salmon Whole-genome alignment coverage	
otshawytscha_homolog_orthology_confidence	Chinook salmon orthology confidence [0 low, 1 high]	
atestudineus_homolog_ensembl_gene	Climbing perch gene stable ID	
atestudineus_homolog_associated_gene_name	Climbing perch gene name	
atestudineus_homolog_ensembl_peptide	Climbing perch protein or transcript stable ID	
atestudineus_homolog_chromosome	Climbing perch chromosome/scaffold name	
atestudineus_homolog_chrom_start	Climbing perch chromosome/scaffold start (bp)	
atestudineus_homolog_chrom_end	Climbing perch chromosome/scaffold end (bp)	
atestudineus_homolog_canonical_transcript_protein	Query protein or transcript ID	
atestudineus_homolog_subtype	Last common ancestor with Climbing perch	
atestudineus_homolog_orthology_type	Climbing perch homology type	
atestudineus_homolog_perc_id	%id. target Climbing perch gene identical to query gene	
atestudineus_homolog_perc_id_r1	%id. query gene identical to target Climbing perch gene	
atestudineus_homolog_goc_score	Climbing perch Gene-order conservation score	
atestudineus_homolog_orthology_confidence	Climbing perch orthology confidence [0 low, 1 high]	
aocellaris_homolog_ensembl_gene	Clown anemonefish gene stable ID	
aocellaris_homolog_associated_gene_name	Clown anemonefish gene name	
aocellaris_homolog_ensembl_peptide	Clown anemonefish protein or transcript stable ID	
aocellaris_homolog_chromosome	Clown anemonefish chromosome/scaffold name	
aocellaris_homolog_chrom_start	Clown anemonefish chromosome/scaffold start (bp)	
aocellaris_homolog_chrom_end	Clown anemonefish chromosome/scaffold end (bp)	
aocellaris_homolog_canonical_transcript_protein	Query protein or transcript ID	
aocellaris_homolog_subtype	Last common ancestor with Clown anemonefish	
aocellaris_homolog_orthology_type	Clown anemonefish homology type	
aocellaris_homolog_perc_id	%id. target Clown anemonefish gene identical to query gene	
aocellaris_homolog_perc_id_r1	%id. query gene identical to target Clown anemonefish gene	
aocellaris_homolog_goc_score	Clown anemonefish Gene-order conservation score	
aocellaris_homolog_wga_coverage	Clown anemonefish Whole-genome alignment coverage	
aocellaris_homolog_orthology_confidence	Clown anemonefish orthology confidence [0 low, 1 high]	
lchalumnae_homolog_ensembl_gene	Coelacanth gene stable ID	
lchalumnae_homolog_associated_gene_name	Coelacanth gene name	
lchalumnae_homolog_ensembl_peptide	Coelacanth protein or transcript stable ID	
lchalumnae_homolog_chromosome	Coelacanth chromosome/scaffold name	
lchalumnae_homolog_chrom_start	Coelacanth chromosome/scaffold start (bp)	
lchalumnae_homolog_chrom_end	Coelacanth chromosome/scaffold end (bp)	
lchalumnae_homolog_canonical_transcript_protein	Query protein or transcript ID	
lchalumnae_homolog_subtype	Last common ancestor with Coelacanth	
lchalumnae_homolog_orthology_type	Coelacanth homology type	
lchalumnae_homolog_perc_id	%id. target Coelacanth gene identical to query gene	
lchalumnae_homolog_perc_id_r1	%id. query gene identical to target Coelacanth gene	
lchalumnae_homolog_goc_score	Coelacanth Gene-order conservation score	
lchalumnae_homolog_wga_coverage	Coelacanth Whole-genome alignment coverage	
lchalumnae_homolog_orthology_confidence	Coelacanth orthology confidence [0 low, 1 high]	
okisutch_homolog_ensembl_gene	Coho salmon gene stable ID	
okisutch_homolog_associated_gene_name	Coho salmon gene name	
okisutch_homolog_ensembl_peptide	Coho salmon protein or transcript stable ID	
okisutch_homolog_chromosome	Coho salmon chromosome/scaffold name	
okisutch_homolog_chrom_start	Coho salmon chromosome/scaffold start (bp)	
okisutch_homolog_chrom_end	Coho salmon chromosome/scaffold end (bp)	
okisutch_homolog_canonical_transcript_protein	Query protein or transcript ID	
okisutch_homolog_subtype	Last common ancestor with Coho salmon	
okisutch_homolog_orthology_type	Coho salmon homology type	
okisutch_homolog_perc_id	%id. target Coho salmon gene identical to query gene	
okisutch_homolog_perc_id_r1	%id. query gene identical to target Coho salmon gene	
okisutch_homolog_goc_score	Coho salmon Gene-order conservation score	
okisutch_homolog_wga_coverage	Coho salmon Whole-genome alignment coverage	
okisutch_homolog_orthology_confidence	Coho salmon orthology confidence [0 low, 1 high]	
falbicollis_homolog_ensembl_gene	Collared flycatcher gene stable ID	
falbicollis_homolog_associated_gene_name	Collared flycatcher gene name	
falbicollis_homolog_ensembl_peptide	Collared flycatcher protein or transcript stable ID	
falbicollis_homolog_chromosome	Collared flycatcher chromosome/scaffold name	
falbicollis_homolog_chrom_start	Collared flycatcher chromosome/scaffold start (bp)	
falbicollis_homolog_chrom_end	Collared flycatcher chromosome/scaffold end (bp)	
falbicollis_homolog_canonical_transcript_protein	Query protein or transcript ID	
falbicollis_homolog_subtype	Last common ancestor with Collared flycatcher	
falbicollis_homolog_orthology_type	Collared flycatcher homology type	
falbicollis_homolog_perc_id	%id. target Collared flycatcher gene identical to query gene	
falbicollis_homolog_perc_id_r1	%id. query gene identical to target Collared flycatcher gene	
falbicollis_homolog_goc_score	Collared flycatcher Gene-order conservation score	
falbicollis_homolog_orthology_confidence	Collared flycatcher orthology confidence [0 low, 1 high]	
scanaria_homolog_ensembl_gene	Common canary gene stable ID	
scanaria_homolog_associated_gene_name	Common canary gene name	
scanaria_homolog_ensembl_peptide	Common canary protein or transcript stable ID	
scanaria_homolog_chromosome	Common canary chromosome/scaffold name	
scanaria_homolog_chrom_start	Common canary chromosome/scaffold start (bp)	
scanaria_homolog_chrom_end	Common canary chromosome/scaffold end (bp)	
scanaria_homolog_canonical_transcript_protein	Query protein or transcript ID	
scanaria_homolog_subtype	Last common ancestor with Common canary	
scanaria_homolog_orthology_type	Common canary homology type	
scanaria_homolog_perc_id	%id. target Common canary gene identical to query gene	
scanaria_homolog_perc_id_r1	%id. query gene identical to target Common canary gene	
scanaria_homolog_goc_score	Common canary Gene-order conservation score	
scanaria_homolog_wga_coverage	Common canary Whole-genome alignment coverage	
scanaria_homolog_orthology_confidence	Common canary orthology confidence [0 low, 1 high]	
cccarpio_homolog_ensembl_gene	Common carp gene stable ID	
cccarpio_homolog_associated_gene_name	Common carp gene name	
cccarpio_homolog_ensembl_peptide	Common carp protein or transcript stable ID	
cccarpio_homolog_chromosome	Common carp chromosome/scaffold name	
cccarpio_homolog_chrom_start	Common carp chromosome/scaffold start (bp)	
cccarpio_homolog_chrom_end	Common carp chromosome/scaffold end (bp)	
cccarpio_homolog_canonical_transcript_protein	Query protein or transcript ID	
cccarpio_homolog_subtype	Last common ancestor with Common carp	
cccarpio_homolog_orthology_type	Common carp homology type	
cccarpio_homolog_perc_id	%id. target Common carp gene identical to query gene	
cccarpio_homolog_perc_id_r1	%id. query gene identical to target Common carp gene	
cccarpio_homolog_goc_score	Common carp Gene-order conservation score	
cccarpio_homolog_orthology_confidence	Common carp orthology confidence [0 low, 1 high]	
pmuralis_homolog_ensembl_gene	Common wall lizard gene stable ID	
pmuralis_homolog_associated_gene_name	Common wall lizard gene name	
pmuralis_homolog_ensembl_peptide	Common wall lizard protein or transcript stable ID	
pmuralis_homolog_chromosome	Common wall lizard chromosome/scaffold name	
pmuralis_homolog_chrom_start	Common wall lizard chromosome/scaffold start (bp)	
pmuralis_homolog_chrom_end	Common wall lizard chromosome/scaffold end (bp)	
pmuralis_homolog_canonical_transcript_protein	Query protein or transcript ID	
pmuralis_homolog_subtype	Last common ancestor with Common wall lizard	
pmuralis_homolog_orthology_type	Common wall lizard homology type	
pmuralis_homolog_perc_id	%id. target Common wall lizard gene identical to query gene	
pmuralis_homolog_perc_id_r1	%id. query gene identical to target Common wall lizard gene	
pmuralis_homolog_goc_score	Common wall lizard Gene-order conservation score	
pmuralis_homolog_wga_coverage	Common wall lizard Whole-genome alignment coverage	
pmuralis_homolog_orthology_confidence	Common wall lizard orthology confidence [0 low, 1 high]	
vursinus_homolog_ensembl_gene	Common wombat gene stable ID	
vursinus_homolog_associated_gene_name	Common wombat gene name	
vursinus_homolog_ensembl_peptide	Common wombat protein or transcript stable ID	
vursinus_homolog_chromosome	Common wombat chromosome/scaffold name	
vursinus_homolog_chrom_start	Common wombat chromosome/scaffold start (bp)	
vursinus_homolog_chrom_end	Common wombat chromosome/scaffold end (bp)	
vursinus_homolog_canonical_transcript_protein	Query protein or transcript ID	
vursinus_homolog_subtype	Last common ancestor with Common wombat	
vursinus_homolog_orthology_type	Common wombat homology type	
vursinus_homolog_perc_id	%id. target Common wombat gene identical to query gene	
vursinus_homolog_perc_id_r1	%id. query gene identical to target Common wombat gene	
vursinus_homolog_goc_score	Common wombat Gene-order conservation score	
vursinus_homolog_wga_coverage	Common wombat Whole-genome alignment coverage	
vursinus_homolog_orthology_confidence	Common wombat orthology confidence [0 low, 1 high]	
pcoquereli_homolog_ensembl_gene	Coquerel's sifaka gene stable ID	
pcoquereli_homolog_associated_gene_name	Coquerel's sifaka gene name	
pcoquereli_homolog_ensembl_peptide	Coquerel's sifaka protein or transcript stable ID	
pcoquereli_homolog_chromosome	Coquerel's sifaka chromosome/scaffold name	
pcoquereli_homolog_chrom_start	Coquerel's sifaka chromosome/scaffold start (bp)	
pcoquereli_homolog_chrom_end	Coquerel's sifaka chromosome/scaffold end (bp)	
pcoquereli_homolog_canonical_transcript_protein	Query protein or transcript ID	
pcoquereli_homolog_subtype	Last common ancestor with Coquerel's sifaka	
pcoquereli_homolog_orthology_type	Coquerel's sifaka homology type	
pcoquereli_homolog_perc_id	%id. target Coquerel's sifaka gene identical to query gene	
pcoquereli_homolog_perc_id_r1	%id. query gene identical to target Coquerel's sifaka gene	
pcoquereli_homolog_goc_score	Coquerel's sifaka Gene-order conservation score	
pcoquereli_homolog_wga_coverage	Coquerel's sifaka Whole-genome alignment coverage	
pcoquereli_homolog_orthology_confidence	Coquerel's sifaka orthology confidence [0 low, 1 high]	
btaurus_homolog_ensembl_gene	Cow gene stable ID	
btaurus_homolog_associated_gene_name	Cow gene name	
btaurus_homolog_ensembl_peptide	Cow protein or transcript stable ID	
btaurus_homolog_chromosome	Cow chromosome/scaffold name	
btaurus_homolog_chrom_start	Cow chromosome/scaffold start (bp)	
btaurus_homolog_chrom_end	Cow chromosome/scaffold end (bp)	
btaurus_homolog_canonical_transcript_protein	Query protein or transcript ID	
btaurus_homolog_subtype	Last common ancestor with Cow	
btaurus_homolog_orthology_type	Cow homology type	
btaurus_homolog_perc_id	%id. target Cow gene identical to query gene	
btaurus_homolog_perc_id_r1	%id. query gene identical to target Cow gene	
btaurus_homolog_goc_score	Cow Gene-order conservation score	
btaurus_homolog_wga_coverage	Cow Whole-genome alignment coverage	
btaurus_homolog_orthology_confidence	Cow orthology confidence [0 low, 1 high]	
mfascicularis_homolog_ensembl_gene	Crab-eating macaque gene stable ID	
mfascicularis_homolog_associated_gene_name	Crab-eating macaque gene name	
mfascicularis_homolog_ensembl_peptide	Crab-eating macaque protein or transcript stable ID	
mfascicularis_homolog_chromosome	Crab-eating macaque chromosome/scaffold name	
mfascicularis_homolog_chrom_start	Crab-eating macaque chromosome/scaffold start (bp)	
mfascicularis_homolog_chrom_end	Crab-eating macaque chromosome/scaffold end (bp)	
mfascicularis_homolog_canonical_transcript_protein	Query protein or transcript ID	
mfascicularis_homolog_subtype	Last common ancestor with Crab-eating macaque	
mfascicularis_homolog_orthology_type	Crab-eating macaque homology type	
mfascicularis_homolog_perc_id	%id. target Crab-eating macaque gene identical to query gene	
mfascicularis_homolog_perc_id_r1	%id. query gene identical to target Crab-eating macaque gene	
mfascicularis_homolog_goc_score	Crab-eating macaque Gene-order conservation score	
mfascicularis_homolog_wga_coverage	Crab-eating macaque Whole-genome alignment coverage	
mfascicularis_homolog_orthology_confidence	Crab-eating macaque orthology confidence [0 low, 1 high]	
odegus_homolog_ensembl_gene	Degu gene stable ID	
odegus_homolog_associated_gene_name	Degu gene name	
odegus_homolog_ensembl_peptide	Degu protein or transcript stable ID	
odegus_homolog_chromosome	Degu chromosome/scaffold name	
odegus_homolog_chrom_start	Degu chromosome/scaffold start (bp)	
odegus_homolog_chrom_end	Degu chromosome/scaffold end (bp)	
odegus_homolog_canonical_transcript_protein	Query protein or transcript ID	
odegus_homolog_subtype	Last common ancestor with Degu	
odegus_homolog_orthology_type	Degu homology type	
odegus_homolog_perc_id	%id. target Degu gene identical to query gene	
odegus_homolog_perc_id_r1	%id. query gene identical to target Degu gene	
odegus_homolog_goc_score	Degu Gene-order conservation score	
odegus_homolog_wga_coverage	Degu Whole-genome alignment coverage	
odegus_homolog_orthology_confidence	Degu orthology confidence [0 low, 1 high]	
dclupeoides_homolog_ensembl_gene	Denticle herring gene stable ID	
dclupeoides_homolog_associated_gene_name	Denticle herring gene name	
dclupeoides_homolog_ensembl_peptide	Denticle herring protein or transcript stable ID	
dclupeoides_homolog_chromosome	Denticle herring chromosome/scaffold name	
dclupeoides_homolog_chrom_start	Denticle herring chromosome/scaffold start (bp)	
dclupeoides_homolog_chrom_end	Denticle herring chromosome/scaffold end (bp)	
dclupeoides_homolog_canonical_transcript_protein	Query protein or transcript ID	
dclupeoides_homolog_subtype	Last common ancestor with Denticle herring	
dclupeoides_homolog_orthology_type	Denticle herring homology type	
dclupeoides_homolog_perc_id	%id. target Denticle herring gene identical to query gene	
dclupeoides_homolog_perc_id_r1	%id. query gene identical to target Denticle herring gene	
dclupeoides_homolog_goc_score	Denticle herring Gene-order conservation score	
dclupeoides_homolog_wga_coverage	Denticle herring Whole-genome alignment coverage	
dclupeoides_homolog_orthology_confidence	Denticle herring orthology confidence [0 low, 1 high]	
cldingo_homolog_ensembl_gene	Dingo gene stable ID	
cldingo_homolog_associated_gene_name	Dingo gene name	
cldingo_homolog_ensembl_peptide	Dingo protein or transcript stable ID	
cldingo_homolog_chromosome	Dingo chromosome/scaffold name	
cldingo_homolog_chrom_start	Dingo chromosome/scaffold start (bp)	
cldingo_homolog_chrom_end	Dingo chromosome/scaffold end (bp)	
cldingo_homolog_canonical_transcript_protein	Query protein or transcript ID	
cldingo_homolog_subtype	Last common ancestor with Dingo	
cldingo_homolog_orthology_type	Dingo homology type	
cldingo_homolog_perc_id	%id. target Dingo gene identical to query gene	
cldingo_homolog_perc_id_r1	%id. query gene identical to target Dingo gene	
cldingo_homolog_goc_score	Dingo Gene-order conservation score	
cldingo_homolog_wga_coverage	Dingo Whole-genome alignment coverage	
cldingo_homolog_orthology_confidence	Dingo orthology confidence [0 low, 1 high]	
clfamiliaris_homolog_ensembl_gene	Dog gene stable ID	
clfamiliaris_homolog_associated_gene_name	Dog gene name	
clfamiliaris_homolog_ensembl_peptide	Dog protein or transcript stable ID	
clfamiliaris_homolog_chromosome	Dog chromosome/scaffold name	
clfamiliaris_homolog_chrom_start	Dog chromosome/scaffold start (bp)	
clfamiliaris_homolog_chrom_end	Dog chromosome/scaffold end (bp)	
clfamiliaris_homolog_canonical_transcript_protein	Query protein or transcript ID	
clfamiliaris_homolog_subtype	Last common ancestor with Dog	
clfamiliaris_homolog_orthology_type	Dog homology type	
clfamiliaris_homolog_perc_id	%id. target Dog gene identical to query gene	
clfamiliaris_homolog_perc_id_r1	%id. query gene identical to target Dog gene	
clfamiliaris_homolog_goc_score	Dog Gene-order conservation score	
clfamiliaris_homolog_wga_coverage	Dog Whole-genome alignment coverage	
clfamiliaris_homolog_orthology_confidence	Dog orthology confidence [0 low, 1 high]	
ttruncatus_homolog_ensembl_gene	Dolphin gene stable ID	
ttruncatus_homolog_associated_gene_name	Dolphin gene name	
ttruncatus_homolog_ensembl_peptide	Dolphin protein or transcript stable ID	
ttruncatus_homolog_chromosome	Dolphin chromosome/scaffold name	
ttruncatus_homolog_chrom_start	Dolphin chromosome/scaffold start (bp)	
ttruncatus_homolog_chrom_end	Dolphin chromosome/scaffold end (bp)	
ttruncatus_homolog_canonical_transcript_protein	Query protein or transcript ID	
ttruncatus_homolog_subtype	Last common ancestor with Dolphin	
ttruncatus_homolog_orthology_type	Dolphin homology type	
ttruncatus_homolog_perc_id	%id. target Dolphin gene identical to query gene	
ttruncatus_homolog_perc_id_r1	%id. query gene identical to target Dolphin gene	
ttruncatus_homolog_goc_score	Dolphin Gene-order conservation score	
ttruncatus_homolog_wga_coverage	Dolphin Whole-genome alignment coverage	
ttruncatus_homolog_orthology_confidence	Dolphin orthology confidence [0 low, 1 high]	
bgrunniens_homolog_ensembl_gene	Domestic yak gene stable ID	
bgrunniens_homolog_associated_gene_name	Domestic yak gene name	
bgrunniens_homolog_ensembl_peptide	Domestic yak protein or transcript stable ID	
bgrunniens_homolog_chromosome	Domestic yak chromosome/scaffold name	
bgrunniens_homolog_chrom_start	Domestic yak chromosome/scaffold start (bp)	
bgrunniens_homolog_chrom_end	Domestic yak chromosome/scaffold end (bp)	
bgrunniens_homolog_canonical_transcript_protein	Query protein or transcript ID	
bgrunniens_homolog_subtype	Last common ancestor with Domestic yak	
bgrunniens_homolog_orthology_type	Domestic yak homology type	
bgrunniens_homolog_perc_id	%id. target Domestic yak gene identical to query gene	
bgrunniens_homolog_perc_id_r1	%id. query gene identical to target Domestic yak gene	
bgrunniens_homolog_goc_score	Domestic yak Gene-order conservation score	
bgrunniens_homolog_wga_coverage	Domestic yak Whole-genome alignment coverage	
bgrunniens_homolog_orthology_confidence	Domestic yak orthology confidence [0 low, 1 high]	
eaasinus_homolog_ensembl_gene	Donkey gene stable ID	
eaasinus_homolog_associated_gene_name	Donkey gene name	
eaasinus_homolog_ensembl_peptide	Donkey protein or transcript stable ID	
eaasinus_homolog_chromosome	Donkey chromosome/scaffold name	
eaasinus_homolog_chrom_start	Donkey chromosome/scaffold start (bp)	
eaasinus_homolog_chrom_end	Donkey chromosome/scaffold end (bp)	
eaasinus_homolog_canonical_transcript_protein	Query protein or transcript ID	
eaasinus_homolog_subtype	Last common ancestor with Donkey	
eaasinus_homolog_orthology_type	Donkey homology type	
eaasinus_homolog_perc_id	%id. target Donkey gene identical to query gene	
eaasinus_homolog_perc_id_r1	%id. query gene identical to target Donkey gene	
eaasinus_homolog_goc_score	Donkey Gene-order conservation score	
eaasinus_homolog_wga_coverage	Donkey Whole-genome alignment coverage	
eaasinus_homolog_orthology_confidence	Donkey orthology confidence [0 low, 1 high]	
mleucophaeus_homolog_ensembl_gene	Drill gene stable ID	
mleucophaeus_homolog_associated_gene_name	Drill gene name	
mleucophaeus_homolog_ensembl_peptide	Drill protein or transcript stable ID	
mleucophaeus_homolog_chromosome	Drill chromosome/scaffold name	
mleucophaeus_homolog_chrom_start	Drill chromosome/scaffold start (bp)	
mleucophaeus_homolog_chrom_end	Drill chromosome/scaffold end (bp)	
mleucophaeus_homolog_canonical_transcript_protein	Query protein or transcript ID	
mleucophaeus_homolog_subtype	Last common ancestor with Drill	
mleucophaeus_homolog_orthology_type	Drill homology type	
mleucophaeus_homolog_perc_id	%id. target Drill gene identical to query gene	
mleucophaeus_homolog_perc_id_r1	%id. query gene identical to target Drill gene	
mleucophaeus_homolog_goc_score	Drill Gene-order conservation score	
mleucophaeus_homolog_wga_coverage	Drill Whole-genome alignment coverage	
mleucophaeus_homolog_orthology_confidence	Drill orthology confidence [0 low, 1 high]	
dmelanogaster_homolog_ensembl_gene	Drosophila melanogaster gene stable ID	
dmelanogaster_homolog_associated_gene_name	Drosophila melanogaster gene name	
dmelanogaster_homolog_ensembl_peptide	Drosophila melanogaster protein or transcript stable ID	
dmelanogaster_homolog_chromosome	Drosophila melanogaster chromosome/scaffold name	
dmelanogaster_homolog_chrom_start	Drosophila melanogaster chromosome/scaffold start (bp)	
dmelanogaster_homolog_chrom_end	Drosophila melanogaster chromosome/scaffold end (bp)	
dmelanogaster_homolog_canonical_transcript_protein	Query protein or transcript ID	
dmelanogaster_homolog_subtype	Last common ancestor with Drosophila melanogaster	
dmelanogaster_homolog_orthology_type	Drosophila melanogaster homology type	
dmelanogaster_homolog_perc_id	%id. target Drosophila melanogaster gene identical to query gene	
dmelanogaster_homolog_perc_id_r1	%id. query gene identical to target Drosophila melanogaster gene	
dmelanogaster_homolog_orthology_confidence	Drosophila melanogaster orthology confidence [0 low, 1 high]	
applatyrhynchos_homolog_ensembl_gene	Duck gene stable ID	
applatyrhynchos_homolog_associated_gene_name	Duck gene name	
applatyrhynchos_homolog_ensembl_peptide	Duck protein or transcript stable ID	
applatyrhynchos_homolog_chromosome	Duck chromosome/scaffold name	
applatyrhynchos_homolog_chrom_start	Duck chromosome/scaffold start (bp)	
applatyrhynchos_homolog_chrom_end	Duck chromosome/scaffold end (bp)	
applatyrhynchos_homolog_canonical_transcript_protein	Query protein or transcript ID	
applatyrhynchos_homolog_subtype	Last common ancestor with Duck	
applatyrhynchos_homolog_orthology_type	Duck homology type	
applatyrhynchos_homolog_perc_id	%id. target Duck gene identical to query gene	
applatyrhynchos_homolog_perc_id_r1	%id. query gene identical to target Duck gene	
applatyrhynchos_homolog_goc_score	Duck Gene-order conservation score	
applatyrhynchos_homolog_wga_coverage	Duck Whole-genome alignment coverage	
applatyrhynchos_homolog_orthology_confidence	Duck orthology confidence [0 low, 1 high]	
ptextilis_homolog_ensembl_gene	Eastern brown snake gene stable ID	
ptextilis_homolog_associated_gene_name	Eastern brown snake gene name	
ptextilis_homolog_ensembl_peptide	Eastern brown snake protein or transcript stable ID	
ptextilis_homolog_chromosome	Eastern brown snake chromosome/scaffold name	
ptextilis_homolog_chrom_start	Eastern brown snake chromosome/scaffold start (bp)	
ptextilis_homolog_chrom_end	Eastern brown snake chromosome/scaffold end (bp)	
ptextilis_homolog_canonical_transcript_protein	Query protein or transcript ID	
ptextilis_homolog_subtype	Last common ancestor with Eastern brown snake	
ptextilis_homolog_orthology_type	Eastern brown snake homology type	
ptextilis_homolog_perc_id	%id. target Eastern brown snake gene identical to query gene	
ptextilis_homolog_perc_id_r1	%id. query gene identical to target Eastern brown snake gene	
ptextilis_homolog_goc_score	Eastern brown snake Gene-order conservation score	
ptextilis_homolog_wga_coverage	Eastern brown snake Whole-genome alignment coverage	
ptextilis_homolog_orthology_confidence	Eastern brown snake orthology confidence [0 low, 1 high]	
acalliptera_homolog_ensembl_gene	Eastern happy gene stable ID	
acalliptera_homolog_associated_gene_name	Eastern happy gene name	
acalliptera_homolog_ensembl_peptide	Eastern happy protein or transcript stable ID	
acalliptera_homolog_chromosome	Eastern happy chromosome/scaffold name	
acalliptera_homolog_chrom_start	Eastern happy chromosome/scaffold start (bp)	
acalliptera_homolog_chrom_end	Eastern happy chromosome/scaffold end (bp)	
acalliptera_homolog_canonical_transcript_protein	Query protein or transcript ID	
acalliptera_homolog_subtype	Last common ancestor with Eastern happy	
acalliptera_homolog_orthology_type	Eastern happy homology type	
acalliptera_homolog_perc_id	%id. target Eastern happy gene identical to query gene	
acalliptera_homolog_perc_id_r1	%id. query gene identical to target Eastern happy gene	
acalliptera_homolog_goc_score	Eastern happy Gene-order conservation score	
acalliptera_homolog_wga_coverage	Eastern happy Whole-genome alignment coverage	
acalliptera_homolog_orthology_confidence	Eastern happy orthology confidence [0 low, 1 high]	
eelectricus_homolog_ensembl_gene	Electric eel gene stable ID	
eelectricus_homolog_associated_gene_name	Electric eel gene name	
eelectricus_homolog_ensembl_peptide	Electric eel protein or transcript stable ID	
eelectricus_homolog_chromosome	Electric eel chromosome/scaffold name	
eelectricus_homolog_chrom_start	Electric eel chromosome/scaffold start (bp)	
eelectricus_homolog_chrom_end	Electric eel chromosome/scaffold end (bp)	
eelectricus_homolog_canonical_transcript_protein	Query protein or transcript ID	
eelectricus_homolog_subtype	Last common ancestor with Electric eel	
eelectricus_homolog_orthology_type	Electric eel homology type	
eelectricus_homolog_perc_id	%id. target Electric eel gene identical to query gene	
eelectricus_homolog_perc_id_r1	%id. query gene identical to target Electric eel gene	
eelectricus_homolog_goc_score	Electric eel Gene-order conservation score	
eelectricus_homolog_wga_coverage	Electric eel Whole-genome alignment coverage	
eelectricus_homolog_orthology_confidence	Electric eel orthology confidence [0 low, 1 high]	
lafricana_homolog_ensembl_gene	Elephant gene stable ID	
lafricana_homolog_associated_gene_name	Elephant gene name	
